id,Kecamatan,Kelurahan,Komuditas,Deskripsi,Harga
1101,Abeli,Abeli,Ikan Bandeng,"Ikan bandeng segar, pilihan terbaik untuk berbagai masakan lezat.","30.000,00"
1102,Abeli,Abeli,Ikan Lele,"Ikan Lele segar, siap menjadi hidangan favorit keluarga.","23.000,00"
1103,Abeli,Abeli,Ikan Betok,"Ikan betok segar, pilihan tepat untuk hidangan tradisional.","30.000,00"
1104,Abeli,Abeli,Belut Air Tawar,"Belut air tawar segar, siap diolah menjadi berbagai jenis masakan.","70.000,00"
1105,Abeli,Abeli,Ikan Emas,"Ikan emas segar, langsung dari kolam ke dapur Anda.","44.000,00"
1106,Abeli,Abeli,Ikan Gurami,Dapatkan ikan gurami berkualitas untuk olahan favorit Anda.,"60.000,00"
1107,Abeli,Abeli,Ikan Mas Rumput,"Ikan mas rumput segar, kaya akan nutrisi untuk keluarga Anda.","51.000,00"
1108,Abeli,Abeli,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, pilihan terbaik untuk keluarga Anda.","160.000,00"
1109,Abeli,Abeli,Ikan Belida,"Ikan belida segar, pilihan tepat untuk hidangan istimewa.","104.000,00"
1110,Abeli,Abeli,Ikan Belanak,Pilihan ikan belanak segar untuk masakan lezat Anda.,"60.000,00"
1111,Abeli,Abeli,Ikan Kiper,"Ikan kiper segar, sempurna untuk berbagai jenis olahan.","38.000,00"
1112,Abeli,Abeli,Ikan Mas Perak,"Ikan mas perak segar, mudah diolah menjadi hidangan spesial.","40.000,00"
1113,Abeli,Abeli,Ikan Nila,Rasakan kelezatan ikan nila segar di setiap hidangan.,"28.000,00"
1114,Abeli,Abeli,Ikan Kepala Ular,Pilihan ikan kepala ular segar terbaik untuk menu harian.,"85.000,00"
1115,Abeli,Abeli,Ikan Bulan-bulan,"Ikan bulan-bulan segar, pilihan sempurna untuk hidangan istimewa.","76.000,00"
1116,Abeli,Abeli,Kacang Kapri,"Kacang kapri ini sering dipakai dalam masakan Asia. Teksturnya renyah dan rasanya manis, bikin tumisan atau sup Anda jadi lebih istimewa","31.500,00"
1117,Abeli,Abeli,Pare,Pare segar dengan harga Rp 5.000/250g. Cocok untuk porsi kecil tumisan sehat Anda,"5.000,00"
1118,Abeli,Abeli,Labu_Air,"Labu air segar seharga Rp 33.000 untuk 2 buah, kaya akan vitamin dan mineral penting. Tambahkan ke dalam menu harian Anda untuk manfaat kesehatan yang maksimal","33.000,00"
1119,Abeli,Abeli,Terong,"Terong segar hanya Rp 5.000 per 250 gram. Sempurna untuk berbagai jenis masakan seperti balado, tumis, atau goreng","5.000,00"
1120,Abeli,Abeli,Brokoli,"Nikmati segarnya brokoli hijau kami, kaya akan vitamin dan nutrisi!","25.000,00"
